Date,AAPL,ABBV,ABT,ACN,AIG,ALL,AMGN,AMZN,APA,APC,AXP,BA,BAC,BAX,BIIB,BK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DIS,DOW,DVN,EBAY,EMC,EMR,EXC,F,FB,FCX,FDX,FOXA,GD,GE,GILD,GM,GOOG,GS,HAL,HD,HON,HPQ,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NKE,NOV,NSC,ORCL,OXY,PEP,PFE,PG,PM,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU,MTK,XAR,KBE,XBI,KCE,XHE,XHS,XHB,KIE,XME,XES,XOP,XPH,KRE,XRT,XSD,XSW,XTL,XTN
2017-01-24,119.970001,60.580002,40.310001,116.480003,65.5,74.470001,151.850006,822.440002,60.959999,71.18,77.43,160.550003,22.950001,45.849998,273.820007,44.630001,48.959999,56.740002,96.239998,68.260002,73.599998,88.730003,50.27,163.669998,30.6,81.779999,116.370003,76.050003,107.900002,59.639999,46.59,29.99,,59.110001,35.130001,12.61,129.369995,17.02,191.610001,30.280001,177.25,30,70.25,37,823.869995,233.679993,56.619999,138.059998,117.959999,15.17,175.899994,37.619999,111.760002,84.720001,41.900002,74.849998,252.910004,74,109.919998,121.050003,44.93,73.830002,54.91,175.970001,70.760002,108.839996,61.209999,42.73,63.52,53.450001,39.040001,116.620003,40.099998,67.870003,104.709999,31.15,87.860001,95.779999,55,147.979996,58.439999,84.580002,48.57,184.139999,41.360001,64.410004,96.349998,77.080002,160.429993,108.720001,116.050003,51.77,111.610001,83.230003,50.119999,81.230003,54.700001,67.400002,85.089996,84.68,52.91,74.559998,23.290001,69.07,63.720001,52.509998,50.200001,48.380001,64.199997,64.379997,43.380001,62.439999,46.169998,51.110001,55.619999,35.330002,83.230003,34.119999,23.07,41.34,37.77,55.380001,43.639999,58.619999,56.68,70.949997,55.119999
2017-01-23,120.080002,60.959999,40.34,114.82,65.489998,74.150002,152.720001,817.880005,60.77,69.860001,75.970001,157.839996,22.559999,46.02,276.019989,43.869999,50,55.68,94.459999,67.550003,73.260002,86.870003,49.939999,163.009995,30.27,81.25,115.389999,72.779999,107.120003,57.139999,45.630001,30.27,,58.290001,35.299999,12.31,128.929993,15.72,185.460007,30,177.229996,29.75,70.690002,36.650002,819.309998,232.669998,54.799999,138.070007,117.410004,14.67,171.029999,36.77,113.910004,83.709999,41.43,76.32,257.480011,72.580002,109.629997,121.379997,44.860001,74.769997,54.099998,178.509995,70.550003,108.440002,61.810001,41.959999,62.959999,53.240002,38.43,113.550003,39.68,67.989998,104.010002,31.459999,86.959999,94.760002,54.880001,147.050003,57.759998,84.269997,48.830002,185,42,63.849998,96.769997,75.730003,159.070007,107.989998,114.459999,50.970001,110.339996,82.150002,52.41,81.550003,54.25,66.650002,84.970001,83.989998,52.560001,73.75,23,69.550003,63.09,51.189999,49.889999,48.389999,63.099998,63.689999,42.650002,62.360001,45.529999,50.689999,55.41,34.32,82.879997,33.09,22.68,40.700001,38.049999,54.349998,43.07,57.400002,55.939999,70.010002,54.330002
2017-01-20,120,61.150002,40.459999,115.07,66.540001,74.540001,154.669998,808.330017,61.810001,70.029999,76.199997,159.529999,22.639999,46.23,280.660004,44.560001,49.23,56.110001,94.580002,67.949997,73.57,87.339996,50.73,164.240005,30.1,81.559998,115.599998,73.029999,107.660004,57.380001,46.259998,30.639999,,58.830002,35.799999,12.36,127.040001,15.51,185.729996,30.049999,178.279999,30.530001,71.010002,37.009998,805.02002,232.199997,56.450001,135.600006,117.82,14.73,170.550003,36.939999,114.150002,83.669998,41.32,76.809998,257.730011,71.410001,109.959999,122.260002,45.200001,74.989998,54.330002,178.490005,70.010002,108.580002,62.529999,42.59,62.740002,53.200001,39.080002,113.589996,39.869999,68.589996,103.239998,31.77,87.449997,94.57,62.880001,146.910004,57.66,86.489998,49.060001,184.529999,41.450001,64.099998,96.110001,74.75,158.660004,108.599998,114.959999,51.200001,110.790001,81.839996,52.720001,81.720001,55.07,67.18,85.889999,83.93,52.580002,74.540001,23.15,69.839996,63.439999,51.09,49.799999,48.639999,63.18,64.019997,42.869999,63.150002,45.540001,50.91,55.68,34.209999,83.089996,32.790001,23.26,41.130001,38.369999,54.52,43.43,57.630001,56.209999,69.839996,54.779999
2017-01-19,119.779999,61.380001,40.400002,115.5,66.290001,74.220001,153.800003,809.039978,62.220001,70.18,76.690002,159,22.530001,46.57,280.350006,44.84,55.490002,56.66,93.379997,67.040001,72.610001,86.720001,49.860001,163.699997,29.98,82.699995,115.580002,72.949997,107.279999,57.09,46.09,30.719999,,58.43,35.740002,12.43,127.550003,15.26,186.169998,29.799999,177.809998,31.209999,71.57,37.299999,802.174988,231.410004,55.34,135.389999,117.910004,14.86,166.809998,36.57,114.199997,83.300003,41.139999,76.839996,257.029999,71.250777,108.529999,122.18,44.59,75.300003,54.02,178.679993,69.550003,108.120003,60.330002,42.450001,62.299999,52.93,37.900002,114.419998,39.209999,68.730003,102.360001,31.700001,84.699997,93.849998,64.440002,146.949997,57.889999,87.199997,49.049999,182.919998,41,65.389999,95.690002,73.879997,158.699997,106.239998,114.269997,50.73,110.730003,81.730003,52.360001,83.489998,54.580002,67.620003,84.730003,83.690002,52.240002,74.260002,23.040001,70.019997,63.43,50.639999,49.529999,48.549999,62.950001,64.370003,42.5,63.619999,45.330002,51.150002,55.549999,34.049999,83.050003,32.540001,22.959999,40.939999,38.759998,54.099998,43.52,56.849998,56.009998,69.910004,54.549999
2017-01-18,119.989998,61.66,40.759998,115.949997,66.239998,74.519997,155.770004,807.47998,62.91,69.889999,77.489998,158.320007,22.629999,46.77,283.609985,46.23,56.07,57.389999,93.330002,67.47,72.290001,87.279999,50.27,164.270004,30.030001,83.037956,115.940002,73.449997,108.160004,57.709999,46.360001,30.389999,,57.220001,35.709999,12.41,127.919998,15.24,187.229996,30.27,175.990005,31.23,72.129997,37.470001,806.070007,234.289993,55.130001,136.160004,118.059998,14.58,166.800003,36.759998,114.699997,83.940002,41.290001,77.529999,254.070007,71.031849,108.660004,122.709999,45.029999,75.669998,54.060001,178.490005,69.160004,108.099998,61.169998,42.860001,62.5,53.27,37.419998,109.970001,39.189999,69.32,102.739998,32.029999,84.93,93.489998,65.129997,147.020004,58.450001,87.480003,49.619999,186.570007,40.799999,66.849998,95.110001,74.379997,157.740005,103.769997,114.959999,50.560001,110.419998,81.589996,52.25,84.120003,54.27,68.110001,86.279999,83.949997,52.43,74.669998,23.139999,70.470001,62.970001,50.959999,49.599998,48.98,62.68,63.75,42.75,64.239998,45.419998,51.490002,56.099998,34.279999,83.43,33,23.040001,41.049999,39.18,54.389999,44.32,57.220001,56,69.470001,54.66
2017-01-17,120,61.860001,40.900002,116.029999,66.059998,73.849998,154.800003,809.719971,62.849998,70.720001,76.599998,157.669998,22.049999,46.52,283.01001,46.43,56.279999,58.380001,92.799999,66.714365,72.559998,86.370003,50.150002,163.809998,29.99,83.415669,116.279999,72.970001,107.970001,57.330002,46.48,30.290001,,56.310001,35.880001,12.41,127.870003,15.06,186.050003,29.93,175.210006,31.27,71.910004,37.310001,804.609985,235.740005,55.009998,135.929993,117.230003,14.58,167.889999,36.799999,114.870003,83.550003,41.220001,76.849998,254.119995,72.026972,108.400002,122.75,44.900002,75.82,53.549999,177.259995,68.480003,108.169998,61.48,42.150002,62.529999,53.650002,37.669998,108.900002,39.099998,69.730003,102.190002,32.060001,84.539999,92.360001,64.190002,145.100006,58,86.43,49.689999,185.330002,41.110001,70.940002,94.870003,74.489998,160.660004,103.370003,114.07,50.310001,109.970001,81.260002,52.740002,84.220001,53.779999,68.419998,87.360001,84.099998,52.25,74.839996,22.950001,70.559998,62.73,50.639999,49.470001,49.040001,62.450001,63.509998,42.380001,63.43,45.18,51.630001,56.27,34.279999,82.620003,32.32,23.24,41.110001,38.950001,53.790001,44.360001,56.830002,55.970001,69.540001,54.279999
2017-01-13,119.040001,61.990002,40.93,116.949997,66.349998,73.889999,156.119995,817.140015,62.531266,71.239998,76.620003,158.830002,23.01,46.450001,284.75,47.740002,56.220001,59.630001,93.702515,65.501376,72.769997,88.849998,50.59,161.860001,30.07,81.487333,116.379997,73.599998,108.059998,57.799999,46.41,30.290001,,57.119999,35.439999,12.429683,128.339996,15.19,187.009995,30.030001,177.121712,31.360001,73.07,37.34,807.880005,244.300003,54.540001,135.039993,118.07,14.77,167.339996,36.790001,114.599998,86.699997,40.880001,77.400002,254.529999,71.798098,108.699997,121.5,44.599998,75.089996,54.310001,177.389999,67.580002,107.620003,62.34,43.810001,62.700001,52.919998,37.400002,111.589996,39.259998,69.080002,101.550003,32.52,83.349438,90.400002,66.879997,145.990005,57.849998,84.82,48.799999,184.009995,40.959999,70.190002,94.139999,75,161.800003,105.25,114.239998,51.689999,110.220001,81.169998,52.549999,83.82,55.310001,67.129997,86.349998,83.959999,51.52,74.379997,23.51,70.919998,63.220001,50.869999,49.66,48.509998,63.240002,64.43,43.860001,65,46.049999,52.110001,56.139999,34.360001,83.160004,32.419998,23.01,40.470001,39.68,55.810001,44.009998,57.84,56.790001,70.519997,55.119999
2017-01-12,119.25,61.279999,40.720001,115.779999,66.25,73.68,155.360001,813.640015,62.770316,71.489998,76.879997,158.289993,22.92,46.509998,287.769989,47.459999,56.549999,59.23,93.216541,65.471549,71.419998,87.889999,50.150002,161.869995,30.040001,82.103602,116.160004,74.110001,107.529999,58.290001,46.459999,30.35,,57.470001,35.439999,12.390317,126.620003,15.27,187.380005,29.809999,175.757633,31.389999,73.360001,37.509998,806.359985,243.839996,55.18,135.070007,117.629997,14.79,167.949997,36.709999,114.620003,86.239998,40.950001,77.150002,252.619995,71.230878,108.709999,122.099998,44.889999,75.110001,53.91,177.440002,67.510002,107.330002,62.209999,43.630001,62.610001,52.400002,38.16,111.010002,39.200001,69.029999,101.839996,32.599998,83.180769,90.510002,66.120003,145.639999,58.029999,85.330002,49,183.089996,41.009998,71.25,93.849998,74.849998,162.360001,104.699997,113.910004,51.43,110.82,81.370003,52.68,83.919998,54.5,67.970001,86.339996,83.650002,51.490002,74.599998,23.379999,70.849998,62.98,50.950001,49.509998,48.580002,62.77,64.080002,43.380001,64.480003,45.759998,51.310001,55.75,34.200001,82.82,32.139999,23.33,40.720001,39.580002,55.189999,43.970001,57.209999,56.25,69.93,54.540001
2017-01-11,119.75,61.139999,41.080002,116.120003,66.949997,73.940002,156.619995,799.02002,63.517345,71.599998,76.910004,159.399994,23.07,46.990002,287.109985,48.029999,56.799999,59.959999,93.871114,64.934652,71.709999,89.139999,51.220001,161.539993,30.15,82.272579,115.93,74.029999,109.440002,58.259998,47.400002,30.41,,57.57,35.389999,12.469048,126.089996,15.87,189.240005,30.08,176.305261,31.469999,73.769997,37.950001,807.909973,245.759995,55.389999,135.699997,118.010002,14.94,167.75,36.950001,114.730003,87.080002,41.049999,75.260002,255.130005,70.912439,107.809998,120.879997,45.07,74.440002,54.43,177.889999,67.650002,108.449997,61.630001,43.669998,63.189999,52.689999,38.529999,110.550003,39.110001,69.349998,101.809998,32.830002,83.09148,90.440002,66.099998,146.25,58.099998,85.660004,48.740002,181.990005,40.610001,71.610001,93.68,75.199997,161.889999,104.269997,114.18,51.790001,111,81.800003,52.459999,84.43,54.799999,68.529999,86.809998,83.730003,51.540001,74.910004,23.58,70.779999,63.240002,51.049999,49.630001,48.540001,62.98,64.339996,43.959999,63.490002,45.950001,51.439999,55.66,34.310001,83.419998,32.580002,23.58,41,39.41,56.09,44.049999,57.66,56.419998,70.32,54.939999
2017-01-10,119.110001,63.429999,41.025002,115.059998,67.199997,73.75,158.759995,795.900024,62.620909,69.580002,76.650002,159.070007,22.940001,46.509998,297.790009,47.720001,59.98,60.23,93.057862,65.014194,70.919998,88.980003,49.66,161.660004,30.379999,82.173181,114.959999,73.559998,108.379997,57.669998,46.700001,30.25,,56.689999,35.060001,12.646194,124.349998,15.55,188.419998,29.67,175.598321,31.370001,75.010002,37.349998,804.789978,242.570007,54.639999,136.100006,117.849998,14.69,165.520004,36.540001,116.160004,86.43,41.040001,76.269997,256.170013,70.86268,107.32,120.25,44.169998,74.900002,53.93,176.580002,67.720001,108.440002,59.919998,43.060001,62.619999,53.110001,37.759998,109.260002,38.66,69.349998,101.970001,33.439999,82.833522,90.519997,65.629997,146.610001,57.880001,84.599998,48.380001,184.190002,40.810001,71.43,93.400002,74.599998,161.580002,103.419998,113.919998,51.220001,111.260002,81.309998,52.759998,82.669998,54.619999,68.230003,85.93,83.550003,51.439999,74.110001,23.43,71.5,62.91,50.639999,49.400002,48.040001,62.59,64.379997,43.740002,65.75,45.900002,51.560001,55.400002,34.18,83.199997,32.48,23.059999,40.599998,40.599998,55.759998,44.330002,57.200001,56.110001,70.389999,54.48
