gvkey	gvkeyx	from	thru	tic	co_conm	co_tic	co_cusip
001078	000003	19640331		I0003	ABBOTT LABORATORIES	ABT	002824100
001300	000003	19640331		I0003	HONEYWELL INTERNATIONAL INC	HON	438516106
001440	000003	19640331		I0003	AMERICAN ELECTRIC POWER CO	AEP	025537101
002285	000003	19640331		I0003	BOEING CO	BA	097023105
002403	000003	19640331		I0003	BRISTOL-MYERS SQUIBB CO	BMY	110122108
002663	000003	19640331		I0003	CAMPBELL SOUP CO	CPB	134429109
002817	000003	19640331		I0003	CATERPILLAR INC	CAT	149123101
002991	000003	19640331		I0003	CHEVRON CORP	CVX	166764100
003144	000003	19640331		I0003	COCA-COLA CO	KO	191216100
003170	000003	19640331		I0003	COLGATE-PALMOLIVE CO	CL	194162103
003413	000003	19640331		I0003	CONSOLIDATED EDISON INC	ED	209115104
003532	000003	19640331		I0003	CORNING INC	GLW	219350105
003835	000003	19640331		I0003	DEERE & CO	DE	244199105
003897	000003	19640331		I0003	DTE ENERGY CO	DTE	233331107
004029	000003	19640331		I0003	DOMINION ENERGY INC	D	25746U109
004060	000003	19640331		I0003	DOW CHEMICAL	DOW	260543103
004087	000003	19640331		I0003	DU PONT (E I) DE NEMOURS	DD	263534109
004199	000003	19640331		I0003	EATON CORP PLC	ETN	G29183103
004503	000003	19640331		I0003	EXXON MOBIL CORP	XOM	30231G102
004839	000003	19640331		I0003	FORD MOTOR CO	F	345370860
005046	000003	19640331		I0003	GENERAL DYNAMICS CORP	GD	369550108
005047	000003	19640331		I0003	GENERAL ELECTRIC CO	GE	369604103
005234	000003	19640331		I0003	GOODYEAR TIRE & RUBBER CO	GT	382550101
005439	000003	19640331		I0003	HALLIBURTON CO	HAL	406216101
005597	000003	19640331		I0003	HERSHEY CO	HSY	427866108
006066	000003	19640331		I0003	INTL BUSINESS MACHINES CORP	IBM	459200101
006104	000003	19640331		I0003	INTL PAPER CO	IP	460146103
006375	000003	19640331		I0003	KELLOGG CO	K	487836108
006435	000003	19640331		I0003	KIMBERLY-CLARK CORP	KMB	494368103
006502	000003	19640331		I0003	KROGER CO	KR	501044101
007163	000003	19640331		I0003	S&P GLOBAL INC	SPGI	78409V104
007241	000003	19640331		I0003	CVS HEALTH CORP	CVS	126650100
007257	000003	19640331		I0003	MERCK & CO	MRK	58933Y105
007366	000003	19640331		I0003	ENTERGY CORP	ETR	29364G103
007435	000003	19640331		I0003	3M CO	MMM	88579Y101
007585	000003	19640331		I0003	MOTOROLA SOLUTIONS INC	MSI	620076307
007923	000003	19640331		I0003	NORFOLK SOUTHERN CORP	NSC	655844108
007977	000003	19640331		I0003	XCEL ENERGY INC	XEL	98389B100
008099	000003	19640331		I0003	FIRSTENERGY CORP	FE	337932107
008247	000003	19640331		I0003	PPG INDUSTRIES INC	PPG	693506107
008264	000003	19640331		I0003	PG&E CORP	PCG	69331C108
008272	000003	19640331		I0003	SEMPRA ENERGY	SRE	816851109
008479	000003	19640331		I0003	PEPSICO INC	PEP	713448108
008530	000003	19640331		I0003	PFIZER INC	PFE	717081103
008539	000003	19640331		I0003	EXELON CORP	EXC	30161N101
008543	000003	19640331		I0003	ALTRIA GROUP INC	MO	02209S103
008549	000003	19640331		I0003	CONOCOPHILLIPS	COP	20825C104
008762	000003	19640331		I0003	PROCTER & GAMBLE CO	PG	742718109
008810	000003	19640331		I0003	PUBLIC SERVICE ENTRP GRP INC	PEG	744573106
