Date,AAPL,MSFT,AMZN,JNJ,FB,XOM,BRK_B,JPM,GOOGL,GOOG,GE,WFC,T,PG,BAC,PFE,CVX,CMCSA,VZ,PM,HD,MRK,UNH,V,C,KO,PEP,CSCO,INTC,DIS,ORCL,MO,IBM,AMGN,MMM,MCD,MDT,MA,ABBV,BA,WMT,CELG,HON,BMY,GILD,PCLN,SLB,UTX,UNP,SBUX,ABT,AGN,QCOM,LLY,CVS,USB,GS,TXN,TWX,UPS,ACN,DOW,NKE,DD,COST,LMT,MDLZ,NEE,CL,WBA,LOW,MS,AXP,CAT,DUK,PYPL,BIIB,MET,GD,AIG,COP,KHC,FDX,DHR,MON,BK,BLK,SPG,SO,GM,RTN,OXY,F,COF,EMR,KMI,HAL,EXC,ALL,FOXA,TGT,FOX
2006-06-27,7.41050166151,17.6431645631,36.48,42.7423199366,,44.4026545213,60.86,31.0726003206,201.782884434,,22.2614140194,24.2200544391,15.3652883245,40.3318345147,38.420230716,14.3972966169,40.7995299408,8.7538520828,16.769273627,,27.348273829,22.8113018505,39.3942598792,,414.540344519,15.3202935525,43.5005418898,16.2373148693,12.886416874,24.8449862069,13.2049289379,9.46269148161,60.1985495178,56.3563759828,59.1600044335,22.9118234964,38.1514641406,4.51092855148,,62.2574550558,36.7829582694,22.92,29.6515029418,16.418433979,13.1208535247,29.56,49.98248211,47.7021457893,17.8221167698,16.0403469922,14.9101998035,23.087365408,30.8679062947,34.6418249386,25.4392509197,22.9675457564,129.236274025,23.6907875,36.0433605111,58.8011265757,21.7966138202,25.546606446,8.95031314589,26.7243161117,44.3604948611,50.0596511452,15.0195413339,28.1203774646,23.3197908384,36.3955881805,25.4983849698,42.3324516886,43.7344524133,52.7386655221,29.1885429753,,44.05,37.8342583311,50.1344406277,896.13284628,32.7080012264,,106.708586404,23.0928697188,32.7196327199,25.4789463874,102.210447119,50.4373458517,18.9509563963,,32.9491421033,35.5188972688,5.24635048717,71.7952714941,29.3557682984,,30.4151967917,36.1963982006,40.4859983825,13.0745583566,38.2071413978,13.8351095128
2006-06-28,7.22856178091,17.8747021558,36.7,42.5126382845,,45.4969026713,61.459,31.3997604122,203.683752231,,22.2952665346,24.6327695209,15.3989964525,40.3463033343,38.704524178,14.4604426547,41.654894462,8.98860805142,16.8571520647,,27.1903651816,23.0676086129,39.5813425245,,415.32151351,15.2878582097,43.3533568386,16.3046198014,13.3219135108,24.8257563415,13.2777837182,9.53447741699,60.1435593251,56.3211422372,59.5959993835,22.5312518357,37.9495618113,4.47755664294,,62.7969740731,37.0069149752,22.61,29.7660759825,16.3924657165,13.3372358499,29.25,50.845549278,47.6477622355,18.0828986509,16.0358589264,15.1071404829,23.136972983,31.4902109447,34.6223887174,25.7436522128,23.0564523851,128.647878377,23.1394673187,36.3405378062,59.3124407199,22.1189297362,25.5969611236,8.53185416705,26.730853371,44.687319711,50.073868598,14.9805927665,28.1273379541,23.0134107492,36.4037964774,25.3061020668,42.40295877,43.6257642311,53.5188886268,29.0452612076,,44.98,38.3137603786,50.0641039223,895.217335114,33.4325290623,,105.735189949,23.0745536736,32.4528620636,25.4306603235,102.486339455,50.75206784,18.9927643682,,32.6949395094,36.4777028062,5.10195551964,72.2120923831,29.2697860627,,30.7154326398,36.1707950896,40.6744806841,13.3154054842,38.1756303534,14.0500739241
2006-06-29,7.60921614103,18.1141120266,38.52,42.9863566919,,46.427385792,61.3,32.4725411774,209.551866537,,22.5254636382,25.0603572182,15.5619190709,41.2289013272,39.4761778605,14.6751391832,42.394852659,9.22760659778,17.213835135,,27.4159489635,23.5867941059,40.0980469734,,424.087965519,15.5185095359,43.7875527397,16.7505149765,13.7930352003,25.2391984494,13.4234932789,9.64411411829,60.9527007319,57.3429208577,61.0017072398,23.6518239476,37.9576379045,4.57671888546,,63.0705330114,37.6170039324,23.615,30.5222580513,16.6846086698,14.0172945864,29.99,53.7280260334,49.1705017428,18.5054057295,17.0411856545,15.3613729964,23.256031163,32.3438852723,35.3285714214,26.4829124959,23.1987299412,133.662414424,23.9704426644,36.7013959503,60.4592453003,22.6426930997,26.2614650151,8.66670284054,27.1492379677,45.5601812001,50.7136539719,15.0779641852,28.6145722171,23.3275472963,37.1589597865,25.8286099555,44.0951287242,45.0554318592,54.7628292372,30.3859691773,,46.97,39.2340949537,51.0566329885,904.372446773,34.3864038391,,109.507101213,23.576572707,35.2941812761,25.9215686399,104.984697839,52.073900191,19.1122157164,,33.1061495878,36.7183019485,5.1340432902,73.8708693904,30.0830347085,,32.077372067,36.1259896453,41.2173097126,13.5132441962,38.8531178091,14.3338269471
2006-06-30,7.3898560013,17.9827530324,38.68,43.0078893468,,45.6681115655,60.86,31.9551717303,210.314219849,,22.3155780438,24.9413762938,15.6686614761,40.223318368,39.0700443434,14.8203750701,42.1300969738,9.26013302717,17.3120522124,,26.9121451839,23.9416803922,39.8931469333,,418.793375692,15.504093828,44.184952378,16.4308165491,13.5646493411,25.3449627096,13.1958220903,9.58407497234,60.3478086122,57.4574305307,60.716055376,23.680014441,37.8930291591,4.57671888546,,62.242257337,37.1999811009,23.715,30.7819569437,16.7884817199,14.0672289692,29.86,54.5575760299,49.2714997713,18.7924679551,16.9469362738,15.6156055098,23.097286923,31.9689068293,35.8079982113,26.700341991,23.123847017,132.10799607,24.2021569435,36.7226229,60.1378478383,22.8199668535,26.4648845737,8.66884329567,27.194998783,45.5402528556,50.998003027,15.0438841886,28.8025054328,23.2305915719,36.8060030224,25.3604428872,44.5675261698,44.4952696891,54.8217139998,30.0584679939,,46.32,39.6053223454,51.1582304519,901.015572498,34.1570568983,,109.376067074,23.569243962,35.6498754845,25.9135209626,106.655379212,52.2060834261,19.1420785535,,33.3229694474,36.8260329078,5.55920625017,72.6884591134,30.025713218,,32.2905830316,36.3756199777,41.262545465,13.504642513,38.498618559,14.2822354883
2006-07-03,7.47760005719,18.2914698226,38.61,43.1729730342,,46.2636207628,61.0,32.8757850111,212.255211504,,22.5660866565,25.0752298338,15.6911335614,40.7297270525,39.6467539376,14.8898357117,42.5985108783,9.26296141233,17.3430681315,,26.8971062651,24.0665477893,40.0980469734,,425.042727619,15.630231272,44.3542151869,16.8262330252,13.8216637497,25.364192575,13.4872412117,9.66760769714,61.2904976299,57.9507029682,60.9791557769,23.9407765048,37.7557355752,4.50997506838,,61.7787269136,36.7366223992,23.73,30.5680872676,16.7105769323,14.0910072467,30.47,54.7586790593,49.7143372811,18.6448937124,17.0636259833,15.604863291,23.5437550981,31.48223268,36.0736265679,26.6133701929,23.3185426201,133.881965039,24.5377431408,36.6377151014,60.5761171047,22.9569511178,26.7632332596,8.70416080539,27.3518930067,45.8989630567,51.5382662316,15.1169127526,28.760742496,23.222835114,37.134334896,25.4315039601,45.1386335293,44.7377279418,55.0351712643,30.2631562335,,47.03,39.968815833,50.7752861665,908.950002603,34.8294604295,,110.7144872,23.8184212925,36.0352108769,26.404429279,107.774275911,52.8984718005,19.2854201714,,33.2332508848,37.5586034308,5.38272351207,73.25839788,30.1152780469,,32.6604387866,37.0797055307,41.4887242269,13.5476509287,38.3095522923,14.2994326413
2006-07-05,7.35521000276,18.0213426311,37.11,43.0940199663,,46.5613753614,59.8,32.5230240803,211.382517582,,22.5525456504,24.867013216,15.6742794974,40.4620538907,39.6954899597,14.9529817495,43.3656235045,9.14134085028,17.2086658152,,26.7166392396,24.1125515671,40.1871339474,,425.389913837,15.504093828,44.3542151869,16.4897083646,13.3861671129,25.402652306,13.2686768707,9.57102298409,61.0941040845,57.6864498767,60.5506779811,23.7927764146,38.0868553952,4.53857956141,,60.9200558015,36.3118769226,23.605,30.3313029835,16.5547673572,14.0268058974,29.51,54.3564730004,49.6055701734,18.6226564977,16.8571749588,15.6156055098,23.365167828,30.453036528,36.4234785497,26.3089688999,23.2286831109,132.564661349,23.906521484,36.3617647559,60.2401106671,22.9166616283,26.2614650151,8.56717167677,27.175387005,45.3170553972,51.8368327394,15.160729891,28.7050585802,23.1801745952,37.0276270371,25.4231438338,44.8777573281,44.0187138131,53.8280336306,30.0175303459,,46.28,39.4738459775,50.955035525,905.440543134,35.220392715,,109.666214095,23.4116759442,35.8234881338,26.1469036048,106.540424072,53.2068993491,19.3272281432,,33.1285792285,37.6376061342,5.30250408566,71.693192909,29.674619089,,32.7126537167,36.836475976,41.3153205095,13.3756172661,38.0259528922,14.1102639593
2006-07-06,7.19630293683,18.121675588,36.8,43.4385424444,,47.2462109383,60.13,32.5536989438,212.250196022,,22.6811852083,25.0975387571,15.7262461947,40.8382431992,39.8498206962,14.9529817495,43.4335095776,9.13002730962,17.2784516333,,26.6715224832,24.0928356623,39.9376904203,,427.646624255,15.6158155641,44.4204484599,16.5149477142,13.4575600042,25.3834224405,13.2049289379,10.1492260636,61.3454878226,58.082829514,61.1821189433,23.7434430511,38.3944644292,4.46230091332,,61.4063828031,36.0801975718,23.65,30.4153232133,16.6663577795,14.2907447777,29.27,53.6274745187,49.6055701734,18.3618746166,17.0007930628,15.6764780835,23.127051468,30.6923844703,36.7150218678,26.1785112029,23.3110543277,132.239726439,23.5709352867,36.0433605111,59.8675817906,22.7555036703,26.0173615447,8.53934576002,26.8289122609,44.5199216171,52.2491388693,14.7858499291,28.3987970435,23.6688314463,37.3887920979,25.314462193,45.0328729072,44.0522518807,54.2107845876,29.7412012224,,47.04,39.6207901534,52.5471352959,907.271565465,35.220392715,,109.095279635,23.4922921394,36.6129631093,26.1469036048,107.659320771,52.6970497279,19.3272281432,,32.971571744,37.2677298408,5.28646020038,71.659166714,29.9433135755,,32.3166904967,36.4780324218,41.3303990936,13.3326088505,38.7349513924,14.1102639593
2006-07-07,7.1485598476,17.9827530324,36.11,43.5103179606,,46.7772474454,60.1002,32.5230240803,210.875953868,,22.5457751474,25.3243461444,15.7717306378,40.8744152481,39.6386312673,14.9529817495,43.2298513583,9.09608668765,17.1162372176,,26.5963278892,24.2965666786,40.4365774744,,425.997489719,15.5617566595,44.4940409856,16.3130329179,13.2505206195,25.2007387184,13.4599206691,10.1544468589,60.0335789397,58.4792091512,55.70211345,23.3840142605,38.5239840225,4.39746406245,,60.7832763324,35.5241671298,24.125,29.7584377798,16.6269729246,14.4476814092,28.82,52.580062907,49.0228892395,18.2183435038,16.1749889647,15.6836395627,22.5714466279,30.3174060273,36.4364360305,26.4916096757,23.2062182337,130.421847346,23.3072604174,35.7461832159,59.2320913544,22.5621141207,25.6715482951,8.46335960274,26.5020492947,44.767033089,52.0500945307,14.7030842232,28.7050585802,23.6106580117,37.6350410031,24.210925532,45.0892785723,43.5827189334,53.4232008876,29.9254206381,,45.66,39.3655713216,52.1706782072,899.794890943,35.022320357,,107.073610074,22.9536293809,35.8404660903,25.8813302533,106.402477903,52.5396887338,19.4765423285,,32.9192359158,36.8511701316,5.39876739735,72.0674810543,29.3127771805,,31.5943839634,36.4652308663,41.4887242269,13.3756172661,38.7743401979,14.161855418
2006-07-10,7.09694569707,18.1371114275,35.79,43.7471771643,,46.9261247447,60.676,32.6533922504,209.747470347,,22.6473326931,25.40614553,15.5670506439,41.2216669174,39.9148020589,15.0729592213,43.6303791896,9.01123513273,17.2575207409,,26.3181078915,24.1979871546,41.7105212019,,428.254200137,15.7239333732,44.8546443611,15.9596820244,12.9792276327,25.2776581804,13.2868905658,10.0944077129,60.229972485,58.6641863153,54.9579151732,23.7363954278,38.6130287428,4.43274293719,,61.0568352707,35.6631747403,23.925,29.6515029418,16.659793637,14.6474189402,28.65,53.208509874,48.8442004198,18.2668610631,15.9909782689,15.6299284683,22.5218390529,30.1578407324,36.4558722517,27.2308699589,23.3185426201,130.720436183,23.1075067285,35.3853250718,59.4439214998,22.537940427,25.7936000303,8.45265732706,26.6589435185,44.886603156,52.9173591487,14.7079527941,28.9765176696,23.897646956,38.3573711249,23.9935622503,45.2725969841,43.6833331364,53.9310819652,29.98682711,,46.29,40.2936398007,52.4687067358,910.933610129,35.1005068141,,107.625825371,22.9499650084,35.8786664923,26.0181407677,106.686033916,53.3768492228,19.6616919183,,33.0388606659,36.9589010909,5.53514042225,72.2886513219,29.4381679409,,31.6117889401,36.8236744205,41.8355316619,13.4186256817,39.0815728813,14.2134468767
2006-07-11,7.18081869168,17.8283946372,35.66,43.617981235,,47.6258480515,60.5794,32.8757850111,212.937317099,,22.5186931352,25.5994895323,15.4874528685,41.4169959815,39.9229247293,14.8330042777,44.3296057427,9.16396793159,17.1057717714,,25.8519014088,24.4937257265,42.841925771,,430.510910556,15.7888040587,45.325636525,15.724114762,13.3290527999,25.5564912299,13.241356328,10.1740248413,60.0728576487,58.7610791155,54.9428808646,24.1592528285,38.8396880311,4.41939417377,,62.0294892738,35.6245615151,24.035,29.8806490232,16.7254350619,14.6854641842,28.82,55.9904351147,49.5978010943,18.2405807185,16.1480605702,15.8483535855,22.4424669329,31.0115150601,36.235595078,27.8135810056,23.3410074974,130.56235974,23.6748072049,35.1518286256,59.6411426697,22.3123192858,25.9359937213,8.41091845194,26.6524062592,45.2213993436,53.5287096171,14.7663756453,28.9834781591,23.9054034139,38.4148292027,23.8514401045,45.0751771561,44.0103292962,54.0267697044,30.1198744658,,46.01,40.4173822646,53.8490493943,907.271565465,35.3976153512,,107.410555001,23.1405123788,35.6537085692,26.0583791543,107.674648123,53.0621272344,19.745307862,,33.6070782288,36.6285261492,5.45492099584,72.3481971632,29.3199423668,,32.8867034837,37.2141218635,41.9033852904,13.4530324143,39.4990942203,14.2306440296
